,blast-chameleon-small-003,blast-chameleon-small-005,blast-chameleon-small-002,blast-chameleon-small-001,blast-chameleon-large-003,blast-chameleon-large-005,blast-chameleon-large-004,blast-chameleon-large-001,blast-chameleon-large-002,blast-chameleon-medium-005,blast-chameleon-medium-002,blast-chameleon-medium-004,blast-chameleon-medium-003,blast-chameleon-medium-001
blast-chameleon-small-004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-small-003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-small-005,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-small-002,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-small-001,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-large-003,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-large-005,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-large-004,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-large-001,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-large-002,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
blast-chameleon-medium-005,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
blast-chameleon-medium-002,,,,,,,,,,,0.0,0.0,0.0,0.0
blast-chameleon-medium-004,,,,,,,,,,,,0.0,0.0,0.0
blast-chameleon-medium-003,,,,,,,,,,,,,0.0,0.0
blast-chameleon-medium-001,,,,,,,,,,,,,,0.0
