,bwa-chameleon-small-004,bwa-chameleon-small-005,bwa-chameleon-small-003,bwa-chameleon-small-002,bwa-chameleon-medium-003,bwa-chameleon-medium-004,bwa-chameleon-medium-005,bwa-chameleon-large-003,bwa-chameleon-large-001,bwa-chameleon-medium-001,bwa-chameleon-large-004,bwa-chameleon-large-005,bwa-chameleon-medium-002,bwa-chameleon-large-002
bwa-chameleon-small-001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-small-004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-small-005,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-small-003,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-small-002,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-medium-003,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-medium-004,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-medium-005,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-large-003,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-large-001,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-medium-001,,,,,,,,,,0.0,0.0,0.0,0.0,0.0
bwa-chameleon-large-004,,,,,,,,,,,0.0,0.0,0.0,0.0
bwa-chameleon-large-005,,,,,,,,,,,,0.0,0.0,0.0
bwa-chameleon-medium-002,,,,,,,,,,,,,0.0,0.0
bwa-chameleon-large-002,,,,,,,,,,,,,,0.0
