,montage-chameleon-dss-05d-001,montage-chameleon-2mass-01d-001,montage-chameleon-dss-075d-001,montage-chameleon-2mass-015d-001,montage-chameleon-dss-10d-001,montage-chameleon-2mass-02d-001,montage-chameleon-2mass-025d-001,montage-chameleon-2mass-03d-001,montage-chameleon-dss-125d-001,montage-chameleon-2mass-04d-001,montage-chameleon-2mass-05d-001,montage-chameleon-dss-15d-001
montage-chameleon-2mass-005d-001,0.0,0.02371409447235949,0.06756341328570378,0.06873486923331353,0.11003682262782612,0.07733996258466722,0.07733996258466722,0.07988102263853272,0.13707750045565575,0.08567375047754418,0.08547273591630161,0.1531688329008583
montage-chameleon-dss-05d-001,0.0,0.015649215928719033,0.06454972243679027,0.06703240406897451,0.11003682262782612,0.0785954690242815,0.07733996258466722,0.07988102263853272,0.13707750045565575,0.08626626384186643,0.08577073571003681,0.15341241557707963
montage-chameleon-2mass-01d-001,,0.0,0.037309185311957364,0.037964199025220614,0.07251371270421948,0.03844215525156715,0.039104250266508676,0.04306068069854705,0.09839839482929147,0.04991426662145065,0.04452150143883974,0.11171682469320109
montage-chameleon-dss-075d-001,,,0.0,0.017467213581331683,0.022956068369173743,0.01746272684280317,0.01746272684280317,0.01967739820199815,0.03626751521703237,0.014158114962099188,0.018262845071538428,0.050328003337005434
montage-chameleon-2mass-015d-001,,,,0.0,0.029902784202366268,0.009608008946973461,0.005531582620714225,0.008661536943419581,0.05445623978874661,0.003895428886474803,0.003266269480088005,0.06847345362147081
montage-chameleon-dss-10d-001,,,,,0.0,0.04548081053472136,0.04548081053472136,0.04759831929805926,0.005179519358029712,0.0430365128581912,0.0519573287525244,0.014394773624405251
montage-chameleon-2mass-02d-001,,,,,,0.0,0.0,0.021345829673368157,0.04885002947585716,0.008663774411420218,0.002424715299968849,0.06612171136086947
montage-chameleon-2mass-025d-001,,,,,,,0.0,0.0230631981978023,0.044623743210393516,0.0061686100849800436,0.0013959721610909332,0.0637823039863542
montage-chameleon-2mass-03d-001,,,,,,,,0.0,0.05003190217925466,0.009728159014474762,0.004199730093435657,0.06318734002603774
montage-chameleon-dss-125d-001,,,,,,,,,0.0,0.05679075550868586,0.06187950010059202,0.0021107826526798393
montage-chameleon-2mass-04d-001,,,,,,,,,,0.0,0.010156328603464234,0.0522329463481441
montage-chameleon-2mass-05d-001,,,,,,,,,,,0.0,0.05138991870759491
montage-chameleon-dss-15d-001,,,,,,,,,,,,0.0
