,seismology-chameleon-200p-001,seismology-chameleon-300p-001,seismology-chameleon-400p-001,seismology-chameleon-500p-001,seismology-chameleon-600p-001,seismology-chameleon-700p-001,seismology-chameleon-800p-001,seismology-chameleon-900p-001,seismology-chameleon-1100p-001
seismology-chameleon-100p-001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seismology-chameleon-200p-001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seismology-chameleon-300p-001,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seismology-chameleon-400p-001,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seismology-chameleon-500p-001,,,,0.0,0.0,0.0,0.0,0.0,0.0
seismology-chameleon-600p-001,,,,,0.0,0.0,0.0,0.0,0.0
seismology-chameleon-700p-001,,,,,,0.0,0.0,0.0,0.0
seismology-chameleon-800p-001,,,,,,,0.0,0.0,0.0
seismology-chameleon-900p-001,,,,,,,,0.0,0.0
seismology-chameleon-1100p-001,,,,,,,,,0.0
